"# repeats per cell: 2000 for |T|=11, 300 for |T|=13, 100 for |T|=15; every question answered `No' independently with probability p"
strategy,strategy_code,|T|,p,1-p,minedKeys_min,minedKeys_max,minedKeys_avg,minedKeySize_min,minedKeySize_max,minedKeySize_avg,minKeys_min,minKeys_max,minKeys_avg,minKeySize_min,minKeySize_max,minKeySize_avg,keyQuestions_min,keyQuestions_max,keyQuestions_avg,questions_min,questions_max,questions_avg,keyRatio_min,keyRatio_max,keyRatio_avg,rounds_min,rounds_max,rounds_avg,ms_min,ms_max,ms_avg
LW-BD,bottomup dfs,13,0.4,0.6,1,43,11.0733,0,351,80.55,1,43,11.0733,0,351,80.55,1,77,18.4267,1,165,45.5433,0.14285714285714285,1.0,0.596,1,88,27.7,0,4102,961.2
LW-BD,bottomup dfs,13,0.5,0.5,1,65,13.62,0,580,94.0933,1,65,13.62,0,580,94.0933,1,121,25.0767,1,225,50.0933,0.2,1.0,0.742,1,109,25.74,0,3963,555.59
LW-BD,bottomup dfs,13,0.6,0.4,1,88,16.41,0,781,102.4433,1,88,16.41,0,781,102.4433,1,191,32.5933,1,323,54.7067,0.14285714285714285,1.0,0.8195,1,140,22.8667,0,3872,274.6067
LW-BD,bottomup dfs,13,0.7,0.30000000000000004,1,164,16.3633,0,1119,94.4067,1,164,16.3633,0,1119,94.4067,1,407,39.2167,1,556,55.8633,0.5876288659793815,1.0,0.9138,1,150,17.5533,0,4109,126.61
LW-BD,bottomup dfs,13,0.8,0.20000000000000007,1,240,13.4,0,1600,63.63,1,240,13.4,0,1600,63.63,1,772,35.8967,1,956,45.0333,0.6666666666666666,1.0,0.9605,1,185,10.0833,0,1626,41.79
LW-BD,bottomup dfs,13,0.9,0.10000000000000009,1,192,4.5533,0,689,10.7633,1,192,4.5533,0,689,10.7633,1,778,12.3233,1,855,13.75,0.7666666666666667,1.0,0.9886,1,78,2.4167,0,159,1.3767
LW-BD,bottomup dfs,13,1.0,1.1102230246251565E-16,1,1,1.0,0,0,0.0,1,1,1.0,0,0,0.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1.0,0,0,0.0
LW-BD,bottomup dfs,15,0.0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,16,16,16.0,0.0,0.0,0.0,16,16,16.0,57912,71245,67769.57
LW-BD,bottomup dfs,15,0.1,0.9,0,9,2.42,0,86,21.27,0,9,2.42,0,86,21.27,0,12,2.81,1,63,25.79,0.0,1.0,0.1865,1,51,23.12,0,94208,57287.84
LW-BD,bottomup dfs,15,0.2,0.8,0,16,5.18,0,160,47.0,0,16,5.18,0,160,47.0,0,23,6.95,1,88,34.07,0.0,1.0,0.3457,1,66,27.45,0,91928,43381.83
LW-BD,bottomup dfs,15,0.3,0.7,1,33,8.77,0,346,77.48,1,33,8.77,0,346,77.48,1,56,13.16,1,142,43.59,0.125,1.0,0.5004,1,98,30.91,0,92466,25740.75
LW-BD,bottomup dfs,15,0.4,0.6,1,40,13.7,0,427,114.88,1,40,13.7,0,427,114.88,1,77,23.5,1,176,58.58,0.13793103448275862,1.0,0.592,1,100,35.71,0,91090,18237.13
LW-BD,bottomup dfs,15,0.5,0.5,1,82,18.82,0,866,160.94,1,82,18.82,0,866,160.94,1,169,35.78,1,323,72.69,0.24390243902439024,1.0,0.7276,1,154,37.59,0,86988,11411.26
LW-BD,bottomup dfs,15,0.6,0.4,1,109,21.78,0,1046,173.89,1,109,21.78,0,1046,173.89,1,259,47.67,1,426,79.53,0.49122807017543857,1.0,0.8444,1,167,32.66,0,61013,5745.34
LW-BD,bottomup dfs,15,0.7,0.30000000000000004,1,163,25.73,0,1416,179.88,1,163,25.73,0,1416,179.88,1,457,64.8,1,647,92.43,0.6282051282051282,1.0,0.9095,1,191,28.55,0,40059,2340.39
LW-BD,bottomup dfs,15,0.8,0.20000000000000007,1,380,35.2,0,3355,239.74,1,380,35.2,0,3355,239.74,1,1308,111.01,1,1620,138.24,0.7559322033898305,1.0,0.952,1,313,28.18,0,40343,1520.49
LW-BD,bottomup dfs,15,0.9,0.10000000000000009,1,396,10.04,0,2545,45.47,1,396,10.04,0,2545,45.47,1,1669,35.85,1,1877,39.87,0.8148148148148148,1.0,0.9867,1,209,5.01,0,3698,58.69
LW-BD,bottomup dfs,15,1.0,1.1102230246251565E-16,1,1,1.0,0,0,0.0,1,1,1.0,0,0,0.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1.0,0,0,0.0
